srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label,text_features,attack_context,multi_class_label
59.166.0.5,14633,149.171.126.5,20093,114,5,0.078974,4222,61786,31,29,7,30,0,421809.7188,6174386.5,72,74,255,255,3111955588,3107991433,59,835,0,0,65.524008,64.978934,1421945244,1421945244,1.107803,1.075082,0.000629,0.000491,0.000138,0,0,0.0,0.0,0,8,7,7,9,3,3,3,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,9
59.166.0.1,22428,149.171.126.4,6881,114,5,0.967007,4172,114238,31,29,8,44,0,33977.00391,936175.25,64,106,255,255,2036290138,2055757718,65,1078,0,0,2598.767325,1998.056379,1421930231,1421930232,15.339079,9.204933,0.000616,0.000482,0.000134,0,0,0.0,0.0,0,10,11,2,7,2,1,2,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,9
59.166.0.2,20233,149.171.126.6,80,114,5,1.023815,1684,10168,31,29,3,5,5,12220.95703,75044.80469,14,18,255,255,670615848,671641185,120,565,1,3924,8767.024643,7676.530726,1421936650,1421936651,78.729767,60.191118,0.00072,0.000561,0.000159,0,0,1.0,0.0,0,2,1,2,1,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:Other Connection_State:State_5 High_Inbound_Traffic Duration:1.0s. Behavioral_Pattern: Normal_Behavior,9
59.166.0.4,37499,149.171.126.7,13834,114,5,0.024905,2438,19502,31,29,7,13,0,762577.8125,6108010.5,38,40,255,255,977746000,3140074732,64,488,0,0,49.030391,40.574399,1421947513,1421947513,0.662703,0.626231,0.000597,0.000478,0.000119,0,0,0.0,0.0,0,12,4,4,4,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Destination_Load. Behavioral_Pattern: Multiple_Services_From_Source Potential_DoS_Inbound,9
59.166.0.7,62118,149.171.126.9,22405,114,5,0.020935,2854,30384,31,29,7,17,0,1066921.375,11368903.0,46,48,255,255,443504823,2597022285,62,633,0,0,0.0,25.974639,1421940565,1421940565,0.458067,0.434043,0.00067,0.000531,0.000139,0,0,0.0,0.0,0,5,6,3,6,1,1,2,unknown,0,Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:HTTP Connection_State:State_5 High_Inbound_Traffic Very_Short_Connection High_Source_Load High_Destination_Load. Behavioral_Pattern: Potential_DoS_Inbound,9
59.166.0.1,53231,149.171.126.7,8919,114,5,0.046411,320,1932,31,29,1,2,4,46023.57031,291482.625,6,8,255,255,1093303980,1102983647,53,242,0,0,640.512374,15.679396,1421938333,1421938333,9.2166,6.537857,0.000777,0.000642,0.000135,0,0,0.0,0.0,0,6,6,3,3,1,1,2,unknown,0,Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_114 Service:SMTP Connection_State:State_5 Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.1,54591,149.171.126.4,53,120,2,0.001084,130,162,31,29,0,0,2,479704.8125,597786.0,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1421943286,1421943286,0.01,0.004,0.0,0.0,0.0,0,0,0.0,0.0,0,3,5,6,7,2,1,4,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.1,25138,149.171.126.3,111,120,2,0.004628,568,320,31,29,0,0,0,736387.25,414866.0313,4,4,0,0,0,0,142,80,0,0,1.656753,1.465362,1421935345,1421935345,1.179,1.041667,0.0,0.0,0.0,0,0,0.0,0.0,0,4,3,4,2,1,1,2,unknown,0,Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.3,1037,149.171.126.9,53,120,2,0.000997,146,178,31,29,0,0,2,585757.25,714142.4375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421938904,1421938904,0.01,0.001,0.0,0.0,0.0,0,0,0.0,0.0,0,2,3,5,1,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:SSH Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Normal_Behavior,9
59.166.0.4,2433,149.171.126.2,53,120,2,0.001004,146,178,31,29,0,0,0,581673.3125,709163.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421933315,1421933315,0.006,0.001,0.0,0.0,0.0,0,0,0.0,0.0,0,19,9,1,5,1,1,1,unknown,0,Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Multiple_Services_From_Source,NORMAL_ACTIVITY - Network_Activity: Protocol:Protocol_120 Service:HTTP Connection_State:SYN_RECV Balanced_Communication Very_Short_Connection. Behavioral_Pattern: Multiple_Services_From_Source,9
